epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1309.87,1.01286,0.88,0.01483,0.9376,0.91815,0.97294,0.76454,0.8137,0.38572,0.01237,4.357e-05,4.357e-05,4.357e-05
59,1329.63,0.98025,0.88909,0.01523,0.93187,0.91991,0.97428,0.76034,0.83718,0.38932,0.0129,4.258e-05,4.258e-05,4.258e-05
60,1349.48,1.01544,0.93678,0.01535,0.93883,0.91648,0.97446,0.76743,0.81258,0.38254,0.01216,4.159e-05,4.159e-05,4.159e-05
61,1369.47,0.96228,0.79205,0.01461,0.93808,0.91629,0.97376,0.7663,0.81438,0.38259,0.01233,4.06e-05,4.06e-05,4.06e-05
62,1389.45,0.99103,0.8763,0.01448,0.93792,0.92425,0.97434,0.76937,0.80557,0.37846,0.01212,3.961e-05,3.961e-05,3.961e-05
63,1409.23,1.00707,0.89407,0.01509,0.93321,0.92374,0.97447,0.76772,0.81053,0.38027,0.01222,3.862e-05,3.862e-05,3.862e-05
64,1429.12,0.97982,0.83209,0.01476,0.93075,0.91728,0.97318,0.76427,0.81909,0.38785,0.01241,3.763e-05,3.763e-05,3.763e-05
65,1448.8,0.98451,0.84622,0.01474,0.93752,0.91693,0.97437,0.76933,0.80231,0.37766,0.01195,3.664e-05,3.664e-05,3.664e-05
66,1468.73,0.98095,0.84937,0.01457,0.92778,0.9221,0.97356,0.76815,0.80111,0.38357,0.01202,3.565e-05,3.565e-05,3.565e-05
67,1488.91,1.00157,0.86305,0.01498,0.93605,0.91928,0.97385,0.76073,0.84646,0.38587,0.01324,3.466e-05,3.466e-05,3.466e-05
68,1508.96,0.97264,0.84172,0.01484,0.92955,0.92198,0.97318,0.77332,0.78688,0.37582,0.01166,3.367e-05,3.367e-05,3.367e-05
69,1528.72,0.96709,0.81528,0.01502,0.94074,0.91008,0.97279,0.76811,0.80924,0.37977,0.01226,3.268e-05,3.268e-05,3.268e-05
70,1548.66,0.9746,0.83544,0.01468,0.92938,0.92855,0.97419,0.76935,0.80524,0.37397,0.01221,3.169e-05,3.169e-05,3.169e-05
71,1568.29,0.98384,0.84829,0.01492,0.93505,0.92448,0.97356,0.7701,0.7939,0.37755,0.01198,3.07e-05,3.07e-05,3.07e-05
72,1588.15,0.99612,0.88664,0.01497,0.94323,0.91784,0.97436,0.76883,0.80558,0.37455,0.01223,2.971e-05,2.971e-05,2.971e-05
73,1608.21,0.99615,0.83686,0.01492,0.94109,0.91624,0.97412,0.77173,0.79091,0.37717,0.01181,2.872e-05,2.872e-05,2.872e-05
74,1628.36,0.99939,0.89092,0.01484,0.93824,0.91953,0.97482,0.77108,0.80061,0.3769,0.01204,2.773e-05,2.773e-05,2.773e-05
75,1648.14,0.96141,0.8179,0.01445,0.93668,0.91633,0.97428,0.7725,0.7914,0.37772,0.01182,2.674e-05,2.674e-05,2.674e-05
76,1667.79,0.97159,0.80548,0.01452,0.94074,0.91981,0.97511,0.77035,0.80301,0.37271,0.01217,2.575e-05,2.575e-05,2.575e-05
77,1687.48,0.97222,0.8111,0.01451,0.93146,0.92762,0.97506,0.76985,0.8055,0.3725,0.0122,2.476e-05,2.476e-05,2.476e-05
78,1707.48,0.96754,0.80599,0.01422,0.94346,0.92121,0.97545,0.77263,0.79833,0.37214,0.01198,2.377e-05,2.377e-05,2.377e-05
79,1727.52,1.00481,0.90603,0.01495,0.93491,0.92184,0.97522,0.7732,0.79575,0.37157,0.01204,2.278e-05,2.278e-05,2.278e-05
80,1747.66,1.00234,0.8761,0.01477,0.93664,0.91766,0.9747,0.77143,0.79859,0.37672,0.01211,2.179e-05,2.179e-05,2.179e-05
81,1767.57,0.96078,0.79997,0.0142,0.93716,0.92099,0.97514,0.77302,0.7956,0.37498,0.01199,2.08e-05,2.08e-05,2.08e-05
82,1787.43,0.96663,0.86061,0.01456,0.9459,0.91158,0.9745,0.77495,0.78612,0.37259,0.01173,1.981e-05,1.981e-05,1.981e-05
83,1807.03,0.99116,0.81965,0.01432,0.93893,0.92521,0.97466,0.77451,0.78963,0.37151,0.01188,1.882e-05,1.882e-05,1.882e-05
84,1826.91,0.96664,0.78205,0.01433,0.94087,0.92318,0.97461,0.77029,0.80205,0.37236,0.01219,1.783e-05,1.783e-05,1.783e-05
85,1846.7,0.96977,0.83254,0.01457,0.94639,0.92099,0.97557,0.77334,0.79631,0.36846,0.012,1.684e-05,1.684e-05,1.684e-05
86,1866.32,0.96812,0.84425,0.01438,0.93963,0.92764,0.97575,0.77568,0.78554,0.36714,0.0117,1.585e-05,1.585e-05,1.585e-05
87,1885.98,0.97943,0.8367,0.01478,0.9356,0.92777,0.97555,0.77719,0.78309,0.36937,0.01168,1.486e-05,1.486e-05,1.486e-05
88,1905.82,0.98142,0.80604,0.01468,0.93973,0.92332,0.97568,0.77569,0.78572,0.36962,0.0118,1.387e-05,1.387e-05,1.387e-05
89,1925.46,0.97149,0.80137,0.0145,0.9365,0.92483,0.97495,0.77555,0.78647,0.37211,0.01181,1.288e-05,1.288e-05,1.288e-05
90,1945.16,0.97545,0.85484,0.01441,0.93691,0.92692,0.97601,0.77427,0.79279,0.37034,0.01194,1.189e-05,1.189e-05,1.189e-05
91,1974.14,0.81989,0.44332,0.01323,0.92894,0.91878,0.97396,0.77264,0.78829,0.38324,0.01181,1.09e-05,1.09e-05,1.09e-05
92,1993.96,0.83417,0.43793,0.01344,0.93024,0.92213,0.97411,0.76995,0.79866,0.38321,0.01205,9.91e-06,9.91e-06,9.91e-06
93,2013.59,0.83197,0.43075,0.01347,0.92593,0.93135,0.97489,0.76897,0.80541,0.38018,0.01223,8.92e-06,8.92e-06,8.92e-06
94,2033.1,0.80926,0.4404,0.01322,0.93143,0.92536,0.97425,0.77221,0.79321,0.37471,0.01193,7.93e-06,7.93e-06,7.93e-06
95,2071.15,0.8231,0.43792,0.0134,0.92642,0.92889,0.97496,0.77387,0.78801,0.37149,0.01179,6.94e-06,6.94e-06,6.94e-06
96,2116.43,0.81864,0.43081,0.01302,0.94087,0.91574,0.97512,0.77434,0.78988,0.37192,0.01182,5.95e-06,5.95e-06,5.95e-06
97,2161.03,0.82686,0.45506,0.01339,0.93944,0.91622,0.97522,0.77317,0.79197,0.37268,0.01189,4.96e-06,4.96e-06,4.96e-06
98,2205.98,0.81911,0.4389,0.01318,0.93188,0.9273,0.97573,0.77369,0.78974,0.37218,0.01186,3.97e-06,3.97e-06,3.97e-06
99,2250.2,0.82013,0.45311,0.01317,0.93661,0.91973,0.9754,0.77394,0.78904,0.37122,0.01186,2.98e-06,2.98e-06,2.98e-06
100,2295.06,0.82315,0.434,0.01342,0.94199,0.91854,0.976,0.77496,0.78794,0.37065,0.01184,1.99e-06,1.99e-06,1.99e-06
